iter	Passed	Remaining
1437	3393	1326
1438	3395	1323
1439	3398	1321
1440	3400	1319
1441	3402	1316
1442	3404	1314
1443	3407	1311
1444	3409	1309
1445	3411	1307
1446	3413	1304
1447	3415	1302
1448	3418	1299
1449	3420	1297
1450	3422	1295
1451	3424	1292
1452	3426	1290
1453	3429	1287
1454	3431	1285
1455	3433	1282
1456	3435	1280
1457	3437	1277
1458	3439	1275
1459	3441	1273
1460	3443	1270
1461	3446	1268
1462	3448	1265
1463	3450	1263
1464	3452	1260
1465	3454	1258
1466	3456	1255
1467	3458	1253
1468	3461	1251
1469	3463	1248
1470	3465	1246
1471	3467	1243
1472	3469	1241
1473	3471	1238
1474	3474	1236
1475	3478	1234
1476	3481	1232
1477	3483	1230
1478	3486	1228
1479	3489	1225
1480	3491	1223
1481	3494	1221
1482	3496	1218
1483	3498	1216
1484	3500	1214
1485	3503	1211
1486	3505	1209
1487	3507	1206
1488	3509	1204
1489	3512	1202
1490	3514	1199
1491	3516	1197
1492	3518	1194
1493	3520	1192
1494	3523	1190
1495	3525	1187
1496	3527	1185
1497	3529	1182
1498	3531	1180
1499	3534	1178
1500	3536	1175
1501	3538	1173
1502	3540	1170
1503	3543	1168
1504	3545	1166
1505	3547	1163
1506	3549	1161
1507	3552	1158
1508	3554	1156
1509	3557	1154
1510	3559	1151
1511	3561	1149
1512	3563	1146
1513	3565	1144
1514	3567	1142
1515	3570	1139
1516	3572	1137
1517	3574	1135
1518	3577	1132
1519	3579	1130
1520	3581	1127
1521	3583	1125
1522	3586	1123
1523	3588	1120
1524	3590	1118
1525	3592	1115
1526	3594	1113
1527	3597	1111
1528	3599	1108
1529	3601	1106
1530	3603	1103
1531	3605	1101
1532	3607	1099
1533	3609	1096
1534	3612	1094
1535	3614	1091
1536	3616	1089
1537	3618	1086
1538	3620	1084
1539	3622	1082
1540	3624	1079
1541	3627	1077
1542	3628	1074
1543	3631	1072
1544	3632	1069
1545	3634	1067
1546	3636	1064
1547	3638	1062
1548	3640	1060
1549	3642	1057
1550	3644	1055
1551	3646	1052
1552	3648	1050
1553	3650	1047
1554	3652	1045
1555	3654	1042
1556	3656	1040
1557	3658	1038
1558	3661	1035
1559	3663	1033
1560	3665	1030
1561	3667	1028
1562	3669	1025
1563	3671	1023
1564	3673	1020
1565	3675	1018
1566	3677	1016
1567	3679	1013
1568	3681	1011
1569	3683	1008
1570	3685	1006
1571	3687	1003
1572	3689	1001
1573	3691	999
1574	3693	996
1575	3695	994
1576	3697	991
1577	3699	989
1578	3702	987
1579	3703	984
1580	3706	982
1581	3708	979
1582	3710	977
1583	3712	975
1584	3715	972
1585	3717	970
1586	3719	967
1587	3721	965
1588	3723	963
1589	3726	960
1590	3728	958
1591	3730	956
1592	3732	953
1593	3734	951
1594	3737	948
1595	3739	946
1596	3741	944
1597	3744	941
1598	3746	939
1599	3748	937
1600	3751	934
1601	3753	932
1602	3756	930
1603	3758	927
1604	3760	925
1605	3762	923
1606	3764	920
1607	3766	918
1608	3769	915
1609	3771	913
1610	3773	911
1611	3775	908
1612	3777	906
1613	3779	904
1614	3782	901
1615	3784	899
1616	3786	896
1617	3789	894
1618	3791	892
1619	3793	889
1620	3796	887
1621	3798	885
1622	3801	882
1623	3803	880
1624	3805	878
1625	3807	875
1626	3809	873
1627	3811	870
1628	3813	868
1629	3816	866
1630	3818	863
1631	3820	861
1632	3822	859
1633	3824	856
1634	3826	854
1635	3828	851
1636	3830	849
1637	3832	846
1638	3834	844
1639	3836	842
1640	3838	839
1641	3840	837
1642	3842	834
1643	3844	832
1644	3846	830
1645	3848	827
1646	3850	825
1647	3852	822
1648	3854	820
1649	3857	818
1650	3858	815
1651	3860	813
1652	3863	810
1653	3865	808
1654	3867	806
1655	3869	803
1656	3871	801
1657	3873	798
1658	3875	796
1659	3877	794
1660	3879	791
1661	3881	789
1662	3883	786
1663	3885	784
1664	3887	782
1665	3889	779
1666	3891	777
1667	3894	775
1668	3896	772
1669	3898	770
1670	3900	767
1671	3902	765
1672	3905	763
1673	3907	760
1674	3909	758
1675	3911	756
1676	3913	753
1677	3916	751
1678	3918	749
1679	3920	746
1680	3923	744
1681	3925	742
1682	3927	739
1683	3930	737
1684	3932	735
1685	3934	732
1686	3936	730
1687	3939	728
1688	3941	725
1689	3943	723
1690	3945	720
1691	3947	718
1692	3950	716
1693	3952	714
1694	3954	711
1695	3957	709
1696	3959	706
1697	3961	704
1698	3963	702
1699	3966	699
1700	3968	697
1701	3970	695
1702	3973	692
1703	3975	690
1704	3977	688
1705	3980	685
1706	3982	683
1707	3984	681
1708	3986	678
1709	3988	676
1710	3990	674
1711	3993	671
1712	3995	669
1713	3997	666
1714	3999	664
1715	4001	662
